127.0.0.1 - - [03/Mar/2023:11:56:23 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:56:25 +0530] "GET /Pharmacy/Login.xhtml HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:56:25 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:57:56 +0530] "POST /Pharmacy/Login.xhtml HTTP/1.1" 500 24277
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:58:03 +0530] "POST /Pharmacy/Login.xhtml HTTP/1.1" 500 24265
0:0:0:0:0:0:0:1 - - [03/Mar/2023:11:59:02 +0530] "POST /Pharmacy/Login.xhtml HTTP/1.1" 500 24265
0:0:0:0:0:0:0:1 - - [03/Mar/2023:12:21:16 +0530] "POST /Pharmacy/Login.xhtml HTTP/1.1" 200 1919
0:0:0:0:0:0:0:1 - - [03/Mar/2023:12:21:16 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:12:21:33 +0530] "POST /Pharmacy/Login.xhtml HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [03/Mar/2023:12:21:35 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:12:21:37 +0530] "POST /Pharmacy/Login.xhtml HTTP/1.1" 500 23738
0:0:0:0:0:0:0:1 - - [03/Mar/2023:12:21:43 +0530] "POST /Pharmacy/Login.xhtml HTTP/1.1" 500 23748
