127.0.0.1 - - [04/Apr/2023:10:11:25 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:11:26 +0530] "GET /HealthPharmacy/faces/Login.xhtml HTTP/1.1" 200 6357
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:11:26 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11235
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:11:26 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:11:26 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 200 108097
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:11:26 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89756
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:11:26 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89155
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:11:26 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/watermark/watermark.js?ln=primefaces&v=12.0.0 HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:11:27 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 200 146589
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:11:27 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 200 492154
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:11:27 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 200 107828
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:12:31 +0530] "POST /HealthPharmacy/faces/Login.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:12:31 +0530] "POST /HealthPharmacy/faces/Login.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:12:31 +0530] "GET /HealthPharmacy/faces/Login.xhtml HTTP/1.1" 200 6364
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:12:31 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:12:31 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:12:31 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:12:31 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:12:31 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:12:31 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:12:31 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/watermark/watermark.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:12:31 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:12:31 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:50 +0530] "GET /HealthPharmacy/faces/Login.xhtml HTTP/1.1" 200 6359
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:50 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:50 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:50 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:50 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:50 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:50 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:50 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:50 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/watermark/watermark.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:50 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:55 +0530] "POST /HealthPharmacy/faces/Login.xhtml;jsessionid=9DC94B212483C97BA0860397FBBC62E7 HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:55 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:55 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:55 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:55 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:55 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:55 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:55 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:55 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/watermark/watermark.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:29:55 +0530] "GET /HealthPharmacy/faces/RES_NOT_FOUND HTTP/1.1" 500 13264
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:30:03 +0530] "POST /HealthPharmacy/faces/ForgetPass.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:30:03 +0530] "GET /HealthPharmacy/faces/ForgetPass.xhtml HTTP/1.1" 200 4081
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:30:03 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:30:03 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:30:03 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:30:03 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:30:03 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:30:03 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/watermark/watermark.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:30:03 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:30:03 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:30:03 +0530] "GET /HealthPharmacy/faces/RES_NOT_FOUND HTTP/1.1" 500 12976
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:39 +0530] "POST /HealthPharmacy/faces/ForgetPass.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:39 +0530] "GET /HealthPharmacy/faces/ForgetPass.xhtml HTTP/1.1" 200 4077
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:39 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:39 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:39 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:39 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:39 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/watermark/watermark.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:39 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:39 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:39 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:45 +0530] "POST /HealthPharmacy/faces/ForgetPass.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:45 +0530] "GET /HealthPharmacy/faces/ForgetPass2.xhtml HTTP/1.1" 200 3652
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:45 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:45 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:45 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:45 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:45 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:45 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:45 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:45 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:51 +0530] "GET /HealthPharmacy/faces/ForgetPass.xhtml HTTP/1.1" 200 3998
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:31:51 +0530] "GET /HealthPharmacy/faces/RES_NOT_FOUND HTTP/1.1" 500 13689
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:01 +0530] "POST /HealthPharmacy/faces/ForgetPass.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:01 +0530] "GET /HealthPharmacy/faces/ForgetPass.xhtml HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:01 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:01 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:01 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:01 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:01 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:01 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:01 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/watermark/watermark.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:01 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:01 +0530] "GET /HealthPharmacy/faces/RES_NOT_FOUND HTTP/1.1" 500 13688
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:12 +0530] "POST /HealthPharmacy/faces/ForgetPass.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:12 +0530] "GET /HealthPharmacy/faces/ForgetPass2.xhtml HTTP/1.1" 200 3652
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:12 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:12 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:12 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:12 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:12 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:12 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:12 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:12 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:19 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/primeicons/primeicons.woff2?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:19 +0530] "POST /HealthPharmacy/faces/ForgetPass2.xhtml HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:19 +0530] "POST /HealthPharmacy/faces/ForgetPass2.xhtml HTTP/1.1" 200 3998
0:0:0:0:0:0:0:1 - - [04/Apr/2023:10:32:19 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
